"Museum_catalog/Field_number"	"Species"	"Sex"	"Museum/Field"	"Museum/Locality"
"2"	"4166"	"Sephanoides_sephanoides"	"Females"	"Museums"	"COIBUNAM"
"9234"	"25384"	"Sephanoides_sephanoides"	"Males"	"Museums"	"LACM"
"17557"	"3748"	"Sephanoides_sephanoides"	"Males"	"Museums"	"MZUSP"
"17561"	"3952"	"Sephanoides_sephanoides"	"Females"	"Museums"	"MZUSP"
"21"	"7046"	"Lophornis_delattrei"	"Females"	"Museums"	"COIBUNAM"
"27"	"7047"	"Lophornis_delattrei"	"Males"	"Museums"	"COIBUNAM"
"29"	"7048"	"Lophornis_delattrei"	"Females"	"Museums"	"COIBUNAM"
"10285"	"3140"	"Lophornis_delattrei"	"Females"	"Museums"	"MLZ"
"16344"	"3753"	"Lophornis_delattrei"	"Males"	"Museums"	"MZUSP"
"82"	"4161"	"Oreotrochilus_chimborazo"	"Males"	"Museums"	"COIBUNAM"
"7506"	"1071"	"Oreotrochilus_chimborazo"	"Males"	"Museums"	"INABIO"
"7512"	"1076"	"Oreotrochilus_chimborazo"	"Females"	"Museums"	"INABIO"
"7515"	"6584"	"Oreotrochilus_chimborazo"	"Males"	"Museums"	"INABIO"
"7519"	"6585"	"Oreotrochilus_chimborazo"	"Males"	"Museums"	"INABIO"
"7522"	"8674"	"Oreotrochilus_chimborazo"	"Females"	"Museums"	"INABIO"
"103"	"5408"	"Heliodoxa_xanthogonys"	"Males"	"Museums"	"COIBUNAM"
"10636"	"1381"	"Heliodoxa_xanthogonys"	"Females"	"Museums"	"MLZ"
"10638"	"1382"	"Heliodoxa_xanthogonys"	"Females"	"Museums"	"MLZ"
"124"	"19049"	"Campylopterus_rufus"	"Males"	"Museums"	"COIBUNAM"
"8800"	"16573"	"Campylopterus_rufus"	"Females"	"Museums"	"LACM"
"8804"	"17992"	"Campylopterus_rufus"	"Females"	"Museums"	"LACM"
"12700"	"7131"	"Campylopterus_rufus"	"Males"	"Museums"	"MZFC"
"143"	"4157"	"Thalurania_glaucopis"	"Females"	"Museums"	"COIBUNAM"
