"Species"	"Bri_males_SS"	"Bri_females_SS"	"Bri_males_NS"	"Bri_females_NS"	"Chr_males_SS"	"Chr_females_SS"	"Chr_males_NS"	"Chr_females_NS"
"Coeligena_bonapartei"	"Coeligena_bonapartei"	1.75753381657951	0.827909313510661	2.48726208937696	3.30899243906243	1.67441311061916	0.173220605283771	1.50741921143518	2.62836077927495
"Coeligena_torquata"	"Coeligena_torquata"	0.160018245055301	1.74415343463225	-0.483359014371153	-0.560190836326111	-0.368468897067784	-0.0718832249402072	-0.458529055852356	0.865752066868924
"Threnetes_ruckeri"	"Threnetes_ruckeri"	-0.602478131542939	-0.380062597143513	0.0722746565487634	-0.0117795188143202	-0.710765742966783	0.412226222121734	-0.239738434954442	-0.581548866408179
"Threnetes_leucurus"	"Threnetes_leucurus"	-1.19355327446905	-0.961486712026509	-0.315098363204842	0.286639901307289	0.0980979166361783	0.285743168872715	-0.0535236833706221	-0.251274641584072
"Phaethornis_rupurumii"	"Phaethornis_rupurumii"	-1.35338926300648	-1.36216294181959	-1.06715425198455	-1.24711652112826	-1.83785720631173	-1.65698723270841	-1.04062628911248	-1.56795841909542
"Phaethornis_longuemareus"	"Phaethornis_longuemareus"	-0.955622270201307	-0.854384351657444	-0.249686200447676	-0.358014565044206	-1.4783664658762	-0.686221169864514	-0.862844301807125	-1.04114377818223
"Phaethornis_nattereri"	"Phaethornis_nattereri"	-1.07194985409374	-0.887420641675504	-0.946184792883611	-0.945786318420044	-1.12986891592994	-0.782747036213253	-0.939229991389842	-0.632751630906741
"Coeligena_violifer"	"Coeligena_violifer"	1.47672775521694	-0.172071324697409	0.630180641102705	0.726366806693449	0.28754493048171	-0.0161471529235666	-0.287030673057904	0.582869663341466
"Phaethornis_atrimentalis"	"Phaethornis_atrimentalis"	-1.36200636147234	-1.31480171155654	-1.12755332902534	-1.19721651288801	-0.743610289218519	-0.860156102194373	0.321516239864362	-0.0816467806436056
"Phaethornis_striigularis"	"Phaethornis_striigularis"	-1.05531995157733	-1.01397206866408	-1.13056345431477	-1.27522616992503	-1.2643306245101	-1.12880737766237	-0.867605165522969	-0.943381615964368
"Phaethornis_griseogularis"	"Phaethornis_griseogularis"	-0.636653218364765	-0.951948603822125	0.142238052111674	-1.6377224171716	-0.29097549684102	-0.423183976296207	0.135754478641452	-0.0257964210483658
"Phaethornis_ruber"	"Phaethornis_ruber"	-1.27456716596572	-1.12491941771311	-1.21977039173562	-1.29630462418596	0.117969932489708	0.485074823516872	0.208457193721046	1.00041236195797
"Phaethornis_augusti"	"Phaethornis_augusti"	-0.102958754545248	0.505637019287111	0.456371989486816	0.765814448687759	-1.27025291055679	-0.466302832467151	0.217018067747982	-0.0593697941634824
"Phaethornis_pretrei"	"Phaethornis_pretrei"	-0.852636917330001	-1.03299036337737	-0.233225049010798	-1.00166735063857	-1.16391593082709	-0.532401539787338	0.11061512151937	0.0415405304655164
"Phaethornis_eurynome"	"Phaethornis_eurynome"	-1.36867517295407	-0.853314210326794	-1.04962439454543	-1.17827180063304	-1.27614231653912	-1.57635587182726	-0.689425702167723	-1.48731522816833
"Coeligena_wilsoni"	"Coeligena_wilsoni"	0.085552701478772	1.29490084187907	0.304544630863588	0.135352822433671	-1.41206919345786	-0.590149841671264	-2.25839712351194	-1.92280549598402
"Phaethornis_anthophilus"	"Phaethornis_anthophilus"	-0.943848721950594	-0.97098149261204	0.0788504504886195	-0.578404094984029	-1.35615794908494	-1.38451996264819	-0.761497499642835	-0.646299268386786
"Phaethornis_hispidus"	"Phaethornis_hispidus"	-1.00033085642358	-1.37731690249509	-0.167674734548404	-1.04516108502325	-1.83817220678338	-1.40137277420944	-1.51689854524345	-1.95000952615648
"Phaethornis_philippii"	"Phaethornis_philippii"	-1.1285928220519	-0.385843453742264	-1.05305971094982	-0.889069930448577	-0.994197983761906	-0.777367146901872	-0.854576460068713	-0.964893194399977
"Phaethornis_bourcieri"	"Phaethornis_bourcieri"	-0.682249593529704	-0.376555376426674	-1.14115232998331	-0.572347989793309	-1.46984260393401	-1.26794243024395	-1.12160272196286	-1.35036233208986
"Phaethornis_mexicanus"	"Phaethornis_mexicanus"	-0.648338447487656	-0.0501586203674527	0.271865261613724	-0.393623254188389	-1.31056649613771	-1.06612322775009	-0.8390658529468	-1.71049015101025
"Phaethornis_superciliosus"	"Phaethornis_superciliosus"	-0.955353299564847	-0.924167324655197	-0.0670845311309229	-1.07359755126903	-1.51022920508616	-1.15797306715619	-1.15753302682841	-1.20379902680816
