"Species"	"Lambda"	"Bri_Beta_males_SS"	"Bri_Beta_females_SS"	"Bri_Beta_males_NS"	"Bri_Beta_females_NS"	"Chr_Beta_males_SS"	"Chr_Beta_females_SS"	"Chr_Beta_males_NS"	"Chr_Beta_females_NS"
"Florisuga_mellivora"	"Florisuga_mellivora"	0.152181883509872	0.0960808628929614	0.176924643062896	1.04864129853564	1.00035860688921	0.155611317513969	0.123714548829376	0.203541859653147	0.19114002115231
"Florisuga_fusca"	"Florisuga_fusca"	0.153415416694459	0.0953524817285726	0.174578733915034	1.0622224831425	1.14765903281382	0.162988574035391	0.129594717835139	0.228759170486438	0.192340695464953
"Topaza_pella"	"Topaza_pella"	0.152655328176707	0.0960406024747506	0.237609743898626	0.34145956184895	0.166718165345814	0.142769214249758	0.295650175432073	0.27097831980965	0.193594338095205
"Topaza_pyra"	"Topaza_pyra"	0.15268629865147	0.0949179406152573	0.259448949582349	0.391927354332472	0.158233508379701	0.137333269130716	0.338722508578835	0.27442340424098	0.196448260481299
"Eutoxeres_aquila"	"Eutoxeres_aquila"	0.153230031210907	0.096443951344265	0.163780660364443	0.185841172557037	0.175377853462489	0.159128710958822	0.131075635244981	0.169850236756559	0.202303875878466
"Eutoxeres_condamini"	"Eutoxeres_condamini"	0.152213801015591	0.100666131623664	0.174139991947107	0.187399230891858	0.188740749947493	0.164574984445955	0.128523573538886	0.166611726702355	0.198839945404927
"Ramphodon_naevius"	"Ramphodon_naevius"	0.152850944893652	0.0916221592784416	0.170889313241279	0.180696636624257	0.187261480293004	0.162287012416904	0.12459386788033	0.162322688415403	0.199698770298854
"Threnetes_ruckeri"	"Threnetes_ruckeri"	0.151853919184282	0.0835055240388684	0.15289736893461	0.157175002199523	0.140695702072697	0.136264460036552	0.106771749049635	0.142105994977837	0.186161131451507
"Threnetes_leucurus"	"Threnetes_leucurus"	0.151893860426244	0.0828040562660007	0.144174530638276	0.157951678743149	0.142537015900319	0.138713617351565	0.102977070967249	0.141266173908624	0.183755761652435
"Glaucis_hirsutus"	"Glaucis_hirsutus"	0.152455769706647	0.0791278090952738	0.147120434929199	0.151821417101062	0.150021787372972	0.128680464996931	0.123063840638983	0.141209863747314	0.185047971573732
"Glaucis_aeneus"	"Glaucis_aeneus"	0.15196965801451	0.0804093420010336	0.149280624750938	0.154143761082569	0.143708331298202	0.12951562239204	0.129780714749096	0.138767184871465	0.189966421487534
"Phaethornis_syrmatophorus"	"Phaethornis_syrmatophorus"	0.153210065444026	0.0789297590666464	0.154205397764675	0.164620625919131	0.148454281216331	0.130660513132161	0.106988281633244	0.143127160201666	0.187906976740959
"Phaethornis_longirostris"	"Phaethornis_longirostris"	0.153185408479821	0.0785239308112461	0.163549938354171	0.163679119944146	0.156110188499383	0.126128287058586	0.0957009496891195	0.135880013245837	0.182641974866848
"Phaethornis_mexicanus"	"Phaethornis_mexicanus"	0.152160526765527	0.0769960734262956	0.168231682355998	0.165146817067772	0.142266129867891	0.122080948451409	0.094604053688818	0.13507547258507	0.184687797336302
"Phaethornis_yaruqui"	"Phaethornis_yaruqui"	0.152323095953644	0.0766137016131973	0.151386812977341	0.161624666975592	0.15095620736623	0.125444152852286	0.0986970084289487	0.136758023306076	0.179487954452064
