"Species"	"crown_Hue_f"	"crown_Bri_f"	"crown_Sat_f"	"gorget_Hue_f"	"gorget_Bri_f"	"gorget_Sat_f"	"belly_Hue_f"	"belly_Bri_f"	"belly_Sat_f"	"mantle_Hue_f"	"mantle_Bri_f"	"mantle_Sat_f"	"rump_Hue_f"	"rump_Bri_f"	"rump_Sat_f"	"crown_Slope_f"	"gorget_Slope_f"	"belly_Slope_f"	"mantle_Slope_f"	"rump_Slope_f"	"mean_span_f"
"1"	"Coeligena_bonapartei"	590.7	5.90606973366584	0.130913120719503	700	14.933637257606	0.225347971941913	620.222222222222	15.9599570983652	0.257272330630367	560.333333333333	9.2688520928235	0.297629115548591	624.888888888889	21.6630539312829	0.388587937390735	-0.0331939007364921	-0.0790772113732335	-0.139082432810566	-0.0311157448323635	-0.203070590416551	0.221320954977537
"10"	"Coeligena_coeligena"	694.142857142857	4.45769850694692	0.0973787633824875	700	9.203200120057	0.0985679974611697	683.714285714286	6.11602469896687	0.0954397097579626	670	5.65196501603135	0.197171267883507	608.285714285714	5.57172829711436	0.180854814663365	-0.0363339769148557	-0.076927859847999	-0.0471241668946681	-0.0487419465407909	-0.0559772254007837	0.098261987657426
"19"	"Coeligena_eos"	561	1.9287769925187	0.22507344289501	700	10.3922542693267	0.182360897286434	587	13.0463250448878	0.297337109966967	562	5.9691490074813	0.303038195238279	603	9.14789561845387	0.312570087415937	-0.0126020526683292	-0.0535200907896924	-0.107539588279302	-0.0630929003158769	-0.0966763431421446	0.156853663422126
"28"	"Coeligena_helianthea"	700	6.05021903408146	0.0390176662980165	700	11.4744219210308	0.174137335970886	695.666666666667	10.7827057356608	0.157631608569475	548	6.94854488944306	0.179660111038863	608.666666666667	17.9917066691604	0.196335061987198	-0.0655235127569964	-0.0687115773676918	-0.0680983225879745	-0.0748002378886118	-0.207063427082294	0.160942955365497
"37"	"Coeligena_inca"	563	4.8617809127182	0.215544218911153	700	7.38287695261845	0.190681713771074	538	18.3588141346633	0.356989894731516	558	6.73064456857855	0.331767881024156	537	10.0931466832918	0.277508795051242	-0.0714661996674979	-0.0589645416791355	-0.194525623374896	0.0112572763092269	-0.138630837871987	0.157886050954735
"46"	"Coeligena_iris"	612	11.8093865561097	0.361091471638164	625.5	7.23530144264339	0.233921571941903	700	9.25029318703242	0.11334778584106	653.5	4.76003621695761	0.202579602293683	652	5.47433493391521	0.177520890258091	-0.140848705012469	-0.0421109428428927	-0.0734988249127182	-0.0376778219118869	-0.0252587295344971	0.20255661027367
"55"	"Coeligena_lutetiae"	603.333333333333	9.21778030756442	0.108022970642406	700	12.6663025095594	0.187309054921512	602	9.39192108894431	0.155699815801042	598.666666666667	5.66834467664173	0.162369546790495	556.666666666667	7.56902600914381	0.135032062310504	-0.0695025771571072	-0.0872090652479911	-0.0709268756830147	-0.0302360819894708	-0.0850708314990302	0.106513718525943
"64"	"Coeligena_phalerata"	546	19.1421473453865	0.286110950078924	700	11.0275762487531	0.230236744868866	695	7.43130084850374	0.118019299983962	607	8.50001079301746	0.197418667957972	560.25	9.95145367643391	0.258440157917107	-0.309901907905237	-0.0487239220573566	-0.0598487329467996	-0.0919287717096148	-0.119204088952618	0.18850778295851
"73"	"Coeligena_prunellei"	555.5	2.85230986907731	0.0567708053415605	486.5	8.53176461471322	0.188575606228281	556	1.35763685910224	0.0611007773255975	555.5	1.81772548877805	0.0652278805139386	649.5	3.60425725311721	0.12286786879181	-0.0284409420947631	-0.135023866483791	-0.0151298876226101	-0.0176494273067332	-0.044723489201995	0.148811833597115
"82"	"Coeligena_torquata"	529.571428571429	7.58479050213751	0.251125927471021	671.785714285714	20.3433238129676	0.0734550954185	655.357142857143	5.38136447969362	0.149580358801526	556.428571428571	5.63735521036694	0.285820486896537	552.357142857143	6.24521795511222	0.253454238506336	-0.0875515321422634	-0.150783545802161	-0.0409974552582828	-0.0665074977852986	-0.0529909827455171	0.180952086035388
"91"	"Coeligena_violifer"	626.5	4.97412502680798	0.108387447725309	584.75	8.12935761533666	0.223397553366776	700	8.56948188154614	0.123966218111877	567.25	9.13839961970075	0.259373143878885	568.5	9.40775642705736	0.264649271186819	-0.0438071620282627	-0.0509456035827099	-0.0599868772527016	-0.0855980992352452	-0.0524175411055694	0.138540195545339
"100"	"Coeligena_wilsoni"	687.75	6.16902561034913	0.0543305052473042	442.75	18.2835025642145	0.203263712240279	700	7.72493830049875	0.0558756194409149	673.5	7.07453630860349	0.116569253155748	649.25	7.79052650249377	0.113562775157932	-0.0608499119492934	-0.19179101652951	-0.0724012739484622	-0.0363190572734829	-0.074824795241064	0.147179628283868
"109"	"Coeligena_orina"	609	4.06246554114713	0.0433055709665843	700	13.4918068902743	0.231414319939452	561.5	13.328669925187	0.28047423332388	543.5	4.52864789276808	0.24179862451548	552.5	9.91729294763092	0.295247980783303	-0.0271906724438903	-0.0762545512551954	-0.104821782136326	-0.0200717320199501	-0.109899839426434	0.180297531574147
"118"	"Ocreatus_underwoodii"	579.4	5.69922690972569	0.205569188476719	609.1	15.6480616446384	0.0696019455738173	614.2	11.6277133503741	0.063840664137436	549.3	7.89787110199501	0.244205807989404	547.8	7.99294481620948	0.24018612154109	-0.0268309841928512	-0.0931620264921031	-0.112218782420615	-0.0688537954696592	-0.0543099652468828	0.154301829045938
"127"	"Eutoxeres_aquila"	698	3.73730390108063	0.123161460933797	691.666666666667	7.99531651371571	0.111035507166556	689	8.20376451371571	0.0993401796661	610.666666666667	4.65466680798005	0.177976027239722	542.666666666667	4.6237832078138	0.177867332888582	-0.032811814081463	-0.0504620836076476	-0.0739068624106401	-0.0644796558381823	-0.0681683989637018	0.106744002370281
"136"	"Adelomyia_melanogenys"	579.5	3.90346711097257	0.214929418583669	520	2.93739820074813	0.121891357221616	560	5.28181182294264	0.094172377471698	578.5	12.7622140710723	0.282112909875267	584.5	7.83850541645885	0.262842648281997	-0.0389991025103907	-0.0331215728927681	-0.0134622396093101	-0.199286913059019	-0.0707431313549459	0.120558087091134
"145"	"Colibri_thalassinus"	597.5	6.25170955735661	0.200642688203839	552.5	9.89667180798005	0.21514137123868	562	12.0472093503741	0.208077050880147	553	6.90535975561097	0.23882120202209	571.5	11.8927350785536	0.238458677910883	-0.0961172580631754	-0.11887003368246	-0.14061443921862	-0.0516883313798836	-0.113696255594347	0.0897597785960332
"154"	"Heliangelus_exortis"	558	5.66005638154613	0.212007090931436	682.5	19.2294924389027	0.129770899361318	635.5	7.38279969201995	0.103887406601381	543.5	6.90811869201995	0.268370647287418	559.5	4.5106716957606	0.166233830740214	-0.0262859598586866	-0.225540476176226	-0.0833355739567747	-0.0974092684954281	-0.0569568980714879	0.183468389151325
"163"	"Eriocnemis_vestita"	560.285714285714	6.45535213537585	0.244689551972079	489.285714285714	29.5906892063405	0.325057399358123	544.142857142857	10.9411635372284	0.177648685263097	559.714285714286	6.76758007445672	0.291833147067214	564.625	16.86185130916	0.330826570849779	-0.0274795943291431	-0.426072647750109	-0.102186094622966	-0.0711562288445553	-0.183287554938356	0.261224368457848
"172"	"Colibri_delphinae"	700	7.52260422194514	0.149011229739715	593	9.58584234413965	0.130047962942118	695.5	9.61004982294264	0.113955599821037	700	6.19729627182045	0.140887940340068	697	6.33924577805486	0.154699567052195	-0.0570276209975062	-0.102489391637573	-0.0469250585286783	-0.0488152764089776	-0.0686116861180382	0.0692255227477109
"181"	"Florisuga_mellivora"	567.25	3.91721348379052	0.112722937671337	555.25	7.66671708977556	0.142049888283679	617	16.9292515704489	0.0262163706116592	547.5	7.53393713279302	0.246571044805656	555.25	8.07526105112219	0.203269065238702	-0.0276313574438903	-0.0608404961554447	-0.151576000685786	-0.057862350436409	-0.0712684804613466	0.164943742652988
"190"	"Aglaiocercus_kingii"	525	8.91373536159601	0.283609358947589	563	7.83773235743973	0.205826313897427	697.333333333333	7.59932978137988	0.171283280498052	559.666666666667	5.76747723524522	0.299530985730759	544	6.33291526766417	0.297991853699041	-0.101784436054309	-0.0771533774674425	-0.0557545953228041	-0.0755838426433915	-0.0696152799778332	0.189739403266913
"199"	"Amazilia_saucerottei"	562	2.43549534413965	0.170305709953952	554	8.43299569201995	0.333944113506611	550.5	6.17987734663342	0.26992773249066	554	4.61156169825436	0.260523445432201	571	6.01120327057357	0.137247958443132	-0.0187645727098919	-0.12296893361596	-0.0529377887863674	-0.039472250315877	-0.0591049967747298	0.124570836704806
"208"	"Phaethornis_syrmatophorus"	698.5	1.26501743017456	0.103003102595287	700	4.60829751371571	0.153138021027983	700	6.11998423316708	0.110952488114557	589.5	5.31336557730673	0.228559726057633	653.5	4.14481980049875	0.192055211840178	-0.00962026111388195	-0.0305888333499584	-0.0567059558270989	-0.0657612005320033	-0.0466873227182045	0.095172053803252
"217"	"Haplophaedia_aureliae"	587.666666666667	4.29808390523691	0.232558486673564	544.666666666667	5.82335346716542	0.262793562608292	597.333333333333	7.42761885453034	0.13078686624459	554.333333333333	5.95363999168745	0.280502666533717	603.666666666667	4.67515651870324	0.214326549613923	-0.0288513576780271	-0.0722522631199778	-0.0759896409919645	-0.0808287990246606	-0.0671442878248822	0.162888214271066
"226"	"Phaethornis_guy"	617.75	4.20470930673317	0.159223784156903	681.25	9.9880129819202	0.150994426094108	692.222222222222	7.95741583984483	0.126474457186213	566.875	9.19135491957606	0.186883923030091	521.333333333333	10.5553779343308	0.164597626337287	-0.0177295867082294	-0.057673178780133	-0.0627868559434746	-0.0965348098004987	-0.11603160168537	0.111051512598951
"235"	"Heliodoxa_rubinoides"	566.5	5.34226469077307	0.220642260225486	642	33.9937934464425	0.249756360125122	642.5	5.37909483665835	0.141672380712982	571.5	4.57275679177057	0.2105171779165	595.5	6.0955643117207	0.190168360102471	-0.0131505203574397	-0.691124208149562	-0.0396233625519534	-0.0456830086533666	-0.0512730491188695	0.149703063325429
"244"	"Doryfera_ludoviciae"	560.5	15.2245972169576	0.292722139455315	642.5	5.53426051745636	0.120837810946786	577.5	5.95402560723192	0.132365752857445	575	5.5294989127182	0.184213358712691	554	9.04820764214464	0.14121828790686	-0.266523766683292	-0.062797282726517	-0.0736006391770573	-0.0470770039068994	-0.154158150764755	0.131450365526703
"253"	"Colibri_coruscans"	561	7.5419698553616	0.189521284053411	468	8.56253464837905	0.266078397088622	452.5	11.8980599600998	0.349229513978436	547.5	4.92186487406484	0.187298044341404	565	7.38355666458853	0.212621282700948	-0.0554238873233583	-0.139570280864505	-0.145312729359933	-0.046903036251039	-0.0609474761679135	0.306369822494941
"262"	"Amazilia_franciae"	540.5	5.13270842394015	0.263607138410281	625	17.0255122668329	0.0498736868787792	548.5	14.62802980798	0.0345073614446117	567.5	6.45384094139651	0.217279879158316	617	8.01777510473815	0.220278505071899	-0.0305313079135495	-0.0939040661429759	-0.137747311055694	-0.0620579688196176	-0.0997438377057357	0.189424628880701
"271"	"Amazilia_cyanifrons"	502.5	3.45982139276808	0.0978031147605816	543	8.05301894139651	0.354228659866685	544	12.028969584788	0.347190481681123	551.5	4.57160388653367	0.2455715772889	637	5.03123618329177	0.128959356822704	-0.0330624831920199	-0.118229564704904	-0.15359382152951	-0.0457990861762261	-0.0168968065752286	0.219447578147229
"280"	"Lesbia_victoriae"	555	6.83619385660848	0.197202383742939	610	23.157709794951	0.361673130803633	700	14.5268622892768	0.077438220985863	554	8.24421359850374	0.275636457773393	564.5	11.3723202094763	0.228768756553773	-0.0285236416625104	-0.0688985948877805	-0.122108574962594	-0.0494344709808811	-0.0824160982709892	0.193170246176753
"289"	"Selasphorus_rufus"	655.333333333333	5.63111821446384	0.249840168595296	694.333333333333	12.8502717273483	0.117743373801485	697	6.95622018038238	0.17854057260492	588.666666666667	4.62046725519535	0.199970649399843	608.666666666667	9.57303154114713	0.281297234789669	-0.0397887250540316	-0.0317257046993627	-0.0279266942033804	-0.00626881251316155	-0.00859902576336935	0.111975832473615
"298"	"Calypte_costae"	700	13.7850538778055	0.170843725555044	693.5	15.1521548503741	0.108710303357833	700	18.0094877905237	0.127565906455672	647.5	7.38685995012469	0.210059143432623	559.5	9.8399946446384	0.223740249963262	-0.0680009650789693	-0.0355466313466334	-0.0713792089193683	-0.0695597857938487	-0.0726594556857855	0.0822869116122072
"307"	"Selasphorus_platycercus"	598.5	7.5531245872818	0.246864945309745	690	17.3529431134663	0.100702942586066	700	12.678221627182	0.0969345981407041	526	10.8455922157107	0.100052866764476	557	11.8805502531172	0.164301038445351	-0.0359538101080632	-0.0224036642061513	-0.0394066599916875	-0.0411660063923525	-0.0515246923275146	0.0982757980115672
"316"	"Selasphorus_sasin"	643.5	6.07996910349127	0.227449916045016	699.5	19.1914371932668	0.109651367268762	691	13.344433255611	0.0940188415613304	598.5	11.7206112855362	0.266269939530487	599	7.78400256483791	0.287173055358653	-0.0611676296259351	-0.0692833160349127	-0.0591983248628429	-0.122530211446384	-0.0752669089443059	0.119160236217579
