"Species"	"crown_Hue_m"	"crown_Bri_m"	"crown_Sat_m"	"gorget_Hue_m"	"gorget_Bri_m"	"gorget_Sat_m"	"belly_Hue_m"	"belly_Bri_m"	"belly_Sat_m"	"mantle_Hue_m"	"mantle_Bri_m"	"mantle_Sat_m"	"rump_Hue_m"	"rump_Bri_m"	"rump_Sat_m"	"crown_Slope_m"	"gorget_Slope_m"	"belly_Slope_m"	"mantle_Slope_m"	"rump_Slope_m"	"mean_span_m"
"1"	"Coeligena_bonapartei"	534.4	21.6138182518703	0.378970567846664	447.4	24.1333191907863	0.367234484962102	622.6	15.1543264992519	0.35069307651961	645.2	6.23302764189526	0.160631373822718	619.2	16.9148552324475	0.344655064801766	-0.325727894124688	-0.288379193749611	-0.107184586320864	-0.0249195845619285	-0.164980879923905	0.442357540703589
"10"	"Coeligena_coeligena"	691.941176470588	4.78809440472349	0.110008373850562	700	8.26827364515183	0.0793614863492197	694.823529411765	5.9137183042394	0.0859984215278737	662.470588235294	5.64703912571512	0.170115097583219	669.941176470588	6.11231030658648	0.176393383518964	-0.0409409563170505	-0.0604615685981125	-0.0564393544775316	-0.0535893392518703	-0.0543524865053054	0.0888002905064079
"19"	"Coeligena_eos"	534	25.2869099606715	0.402505285041634	427	27.7001651966827	0.347644486161092	606	8.602661159601	0.274351165318034	586	4.76271396009975	0.27765604819586	608	6.09654624937656	0.327769093987129	-0.591810282023073	-0.641888406410794	-0.0343093530174563	-0.030960128162926	-0.0525744270656691	0.407631230174681
"28"	"Coeligena_helianthea"	536	17.141235136908	0.300836292831406	448.142857142857	25.9384919152967	0.410465083818006	635.857142857143	14.8147383197149	0.178011380906653	599.142857142857	4.32979584681154	0.0367139166971381	561.714285714286	16.7206797000356	0.157970900644534	-0.232230636729373	-0.307972822819219	-0.194405815083433	-0.0345073620947631	-0.206520148457428	0.346053432327664
"37"	"Coeligena_inca"	700	1.88539249625935	0.0282928123057294	700	7.30437548877805	0.206932864313912	548	17.8311051496259	0.382230520859448	555	4.30677845386534	0.319682776967043	547	5.82212060598504	0.297531514994269	0.000782371620947617	-0.0284829518204489	-0.219015086550291	-0.0143400507896924	-0.0466068838736492	0.240320318082396
"46"	"Coeligena_iris"	572.666666666667	28.0984885422681	0.358446458012816	544.833333333333	18.9459741213633	0.272426246482639	700	7.2004302273483	0.125957591989226	667.333333333333	5.57823865627598	0.121087800092481	679.166666666667	6.53276574522028	0.136669134374271	-0.414070059290886	-0.29931080566916	-0.0640450589581601	-0.0294830784178443	-0.0454696445331116	0.24770587243292
"55"	"Coeligena_lutetiae"	546	24.1239680750411	0.373781228933793	449.833333333333	27.1219629250934	0.411395537596295	572.333333333333	7.70833265710723	0.156807744648416	649.5	5.72955592103076	0.0389400125390491	633.333333333333	4.97399311221945	0.0509200738288521	-0.297239017158409	-0.291369363091035	-0.0504526018343031	-0.0300643081463009	-0.0136169135522305	0.343501775221496
"64"	"Coeligena_phalerata"	499.4	25.4217339736585	0.330358295161536	439.4	23.6430299653065	0.320022653779116	569.6	8.23723418852868	0.161304193042985	636.2	5.5227083361596	0.080991739036717	534.4	7.3270624957606	0.17052799490795	-0.247079738250598	-0.265775890564684	-0.0742504111288445	-0.0495654169177057	-0.0636433540947631	0.27154292334668
"73"	"Coeligena_prunellei"	626.2	3.63963085376559	0.0605476653595335	558.8	9.90858242793017	0.145698655023899	618.76	3.93977204399003	0.0310532427266574	519.68	2.61835590184539	0.0535090822955009	537.4	5.10537503341646	0.0862757535650467	-0.0357028725080632	-0.12965594159202	-0.0428101272272652	-0.0212229550091438	-0.0456483582849543	0.114339754527632
"82"	"Coeligena_torquata"	514	12.8524238580785	0.29350747849219	660.884615384615	11.2376674990409	0.0991571212067507	557.884615384615	6.47153462378031	0.164203929928839	507.923076923077	3.93710864703626	0.152029758230849	509.961538461538	5.23544523911375	0.188859671097325	-0.191457238995877	-0.0923303522929855	-0.0647570418185734	-0.0270672616100774	-0.0315520746332886	0.218449487472498
"91"	"Coeligena_violifer"	564.25	12.7385449487084	0.198615204020525	440.875	29.2017877776568	0.307578921595948	671	9.251281875	0.148458990894389	622	6.98968572911471	0.166877669679994	616.125	7.89653531951372	0.220366053608649	-0.174360663109662	-0.386217770206573	-0.0848367438133832	-0.0430038561824605	-0.0602822316687448	0.274799141770944
"100"	"Coeligena_wilsoni"	700	5.99836658254364	0.0399396206835872	551.8	17.0822174259352	0.172119872962731	700	8.41056502693267	0.0503459091686485	695.8	6.40701666982544	0.0522996561729097	686.2	6.83616452418953	0.081203945400387	-0.0516517005719036	-0.161243943424771	-0.0688023060482128	-0.0346251017157107	-0.055538014244389	0.108678668588972
"109"	"Coeligena_orina"	528	26.9823199543476	0.404973110154575	471	27.7950189925647	0.452546549816849	567	19.8960914663342	0.347132233375357	300	2.87867134413965	0.0586691715475557	564	7.63575317206983	0.299295885470765	-0.39488170520499	-0.507460787618548	-0.265083144256027	-0.0288125773566085	-0.0726140754280964	0.41020579439364
"118"	"Ocreatus_underwoodii"	556.625	5.59054163591022	0.234430069584438	541.375	16.9297786063917	0.376586341854258	534.5	6.39693533852868	0.18739567253725	545.25	6.41176113591022	0.222212636944479	540.75	5.93502579706983	0.212815820765803	-0.0174760564941812	-0.202720227366187	-0.0564899616895262	-0.0422978139443059	-0.0493109758229426	0.131000007463934
"127"	"Eutoxeres_aquila"	682.4	4.64935120399003	0.115800538177132	689.4	6.27869548877805	0.100199615786738	641.8	7.66897316957606	0.0607505600944599	521.6	5.00786816309227	0.183304459092325	529.4	6.29571385236908	0.158211254063715	-0.0238684908329177	-0.0441108819118869	-0.0544940155777223	-0.0665862773965087	-0.0567968572103076	0.109355874374948
"136"	"Adelomyia_melanogenys"	542.823529411765	4.86289983335778	0.118910393482582	687.588235294118	8.20799780739328	0.143916109759605	695.823529411765	6.92532854290744	0.0878318049939977	553.882352941176	8.10251541147132	0.236136785124499	565.058823529412	7.98122721607745	0.199898115800908	-0.0422007500894822	-0.0667247961263508	-0.0682937417563933	-0.0922638248574642	-0.0884181119886558	0.113011078915267
"145"	"Colibri_thalassinus"	547.8	8.38826777057357	0.193045840749379	533.2	14.1922339710723	0.242221447378804	541.6	10.9003744304239	0.181299596212312	550.4	9.34098592119701	0.224678644562424	557.6	10.4464643581047	0.222867019604387	-0.0404316283624273	-0.137449238959268	-0.118966834640066	-0.0722094053034081	-0.108270772947631	0.100019867978421
"154"	"Heliangelus_exortis"	546.666666666667	7.15393478678304	0.238218523548425	612.5	38.9605556678472	0.259377435175606	593	4.18617225080157	0.137650733536786	547.857142857143	5.05645359030994	0.262117897103945	521	4.3799954127182	0.186685803073197	-0.0695244244195068	-0.664638139427641	-0.0426093986747417	-0.0629348805700035	-0.0489895933721252	0.250131152583404
"163"	"Eriocnemis_vestita"	564.647058823529	4.15457218864603	0.243355696650033	452.266666666667	23.1426348460816	0.427616836997873	546.875	7.1513424178616	0.270963129092712	558.1875	6.24421933603491	0.271938324283083	563	16.6110406258789	0.325878044181305	-0.0340627246504188	-0.341687795431086	-0.0736290797028262	-0.0723767104000415	-0.17140086046479	0.327432306981948
